"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"转发给做开发的朋友，第27周GitHub一周涨星最猛的14个项目，最高一个OpenMontage一周涨18703星，AI编程助手变视频工作室。

#GitHub #开源 #AI #编程 #科技 #人工智能 #开发工具","export/UzFfBgAAxPmnIHBndxKhjMzT4DCaQgmphelOogkQy9O93HsHBw","2026/06/29","10.16%","20.59秒",669,2,7,2,24,9,24,0,0,0,,,,
"今天GitHub涨星最猛的5个AI工具，codebase-memory-mcp让AI看懂代码库、FluidVoice离线语音听写、Vibe-Trading交易agent、video-use代码剪视频、strix找漏洞修bug，转发给用得上的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #AI工具 #开源项目 #效率工具","export/UzFfBgAAxO2nDDQPMEShjMzT4DCaC7ZMPTe4cQfRx639jDkc4Q","2026/06/29","11.28%","19.83秒",1223,4,5,2,38,3,38,0,0,0,,,,
"微软自己做的 Windows 效率工具，三十多个，免费。
转发给用 Windows 的朋友，窗口分区、快速启动、跨机键鼠这些都能用上，官方出品，开源透明。

#PowerToys #Windows效率工具 #微软 #生产力工具 #桌面效率 #效率工具推荐","export/UzFfBgAAxJSnBBMgY2GmjMzT4DCa5HXkpTsME_fh4LuY31VvHg","2026/06/28","4.23%","20.75秒",757,4,8,1,8,2,8,0,0,0,,,,
"开源自动驾驶装进300多款车，还有AI能记住你说过的话、把文档秒变PPT。这几个GitHub项目挺实用，转给做AI应用和网站运营的朋友看看。

#GitHub热门 #开源 #AI #程序员 #科技","export/UzFfBgAAxOKndDVXKSynjMzT4DCawKfNil32EWHP-93InLsxWg","2026/06/28","9.48%","20.89秒",538,0,4,0,12,4,12,0,0,0,,,,
"有个能把PDF秒变成AI能读的格式，自托管旅行工具、AI联网能力、不用账号的加密聊天全都有。

转发给做开发的朋友，这几个开源工具值得看看。

#GitHub #开源 #程序员 #科技 #工具","export/UzFfBgAAxJWnEE4lUFunjMzT4DCaqrIf6vORq3nrnpX7Dn5SZg","2026/06/27","11.66%","36.19秒",728,2,16,2,27,8,27,0,0,0,,,,
"P2P五千家清零的教训。
微贷网烧光上亿美金。
监管套利是定时炸弹。
转发给身边创业的朋友。

#创业淘金者 #创业失败 #商业复盘 #创业 #财经","export/UzFfBgAAxOunCCAUcQqljMzT4DCa7ybh1j61_mGmVHwvJCTJTA","2026/06/26","7.60%","21.56秒",526,2,1,0,3,3,3,0,0,0,,,,
"6月26日GitHub热门项目盘点，design.md给AI写视觉说明书单日1407星，gstack配23个角色、MinerU把PDF变AI口粮、page-agent说话操控网页、TREK自托管旅行规划，5个AI工具都挺实用。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxOinGH8demKljMzT4DCaOCYL8NoC2aG82LMrhH3z8g","2026/06/26","8.36%","21.80秒",1710,3,13,4,45,4,45,0,0,0,,,,
"6月25日 GitHub 涨星榜，苹果居然没用 Docker，自己用 Swift 造了个更轻的原生容器，Mac 用户即装即用。

还有二十万星的成长型 AI 伙伴、一条命令克隆网站、一份订阅跑整支 AI 舰队。值得转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxP6nBFwYGUjajMzT4DCaAnOGIgbqQDtMWMfwpTDMbA","2026/06/25","6.96%","19.11秒",818,4,5,0,26,5,26,0,0,0,,,,
"转发这期魔力耳朵复盘给创业的朋友。五千万美金融来，一道双减文件，教培帝国一夜归零。死因是政策一刀切加账本早崩。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #双减 #财经","export/UzFfBgAAxJ2ncAMZTy7YjMzT4DCaIsWDMFmiT6FrR5k6eex6xg","2026/06/24","6.38%","18.29秒",423,0,0,1,0,0,0,0,0,0,,,,
"今天GitHub涨星王是AI视频工作室，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxOKnRCk4GzfYjMzT4DCaDSAtMDQS-zxusTkTsScEOQ","2026/06/24","-","0",0,0,0,0,0,0,0,0,0,0,,,,
"22亿美金烧出一片共享单车坟场。ofo小黄车死因写在账本上：单位经济为负还疯狂扩张250城，最后挪用押金崩盘。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #ofo #财经","export/UzFfBgAAxO2ncFhHISrZjMzT4DCa-MlGbZ6GvlJ05GBb7nPsZQ","2026/06/23","6.54%","25.66秒",688,0,2,1,1,3,1,0,0,0,,,,
"今天GitHub涨星王是AI视频工具，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxISnbB9eRxPZjMzT4DCagQlWAnWOyFNrAD8KULRx8g","2026/06/23","11.43%","18.14秒",280,0,1,0,12,3,12,0,0,0,,,,
"第25周GitHub周榜，AI项目占了一大半，13个项目里8个跟AI有关，转发给做开发的朋友别错过。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIGndHB4P3HejMzT4DCazKqPtxF4URPW9X4XGVEtuA","2026/06/22","10.89%","26.31秒",2241,5,29,4,67,20,67,0,0,0,,,,
"今日 6 个值得留意的开源项目。

#开源 #GitHub #AI #科技 #程序员","export/UzFfBgAAxJqnaEc-O37ejMzT4DCaYP_PhAeyODOftVerZ_ZuMg","2026/06/22","13.62%","24.56秒",4619,27,63,5,217,29,217,0,0,0,,,,
"转发给做开发的朋友，本期 GitHub 6 个项目都值得关注：抄大佬技能、网页变 app、短信自动转发。关注我，每天一份热门项目清单。

#GitHub #开源 #AI #科技 #程序员","export/UzFfBgAAxIWnTEkqMFXfjMzT4DCa6e0CNEOzPuBYxQjBa4VzXg","2026/06/21","10.28%","22.98秒",3753,13,44,2,177,10,177,0,0,0,,,,
"输入砍掉九成，AI 答案几乎一样。
今天 6 个 GitHub 热门项目，headroom 一天近四千星最猛。
还有 AI 帮剪视频、全球情报仪表盘、免费设计工具。
做开发的朋友，这几个工具转发给你看看，哪个性价比最高。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxPOnADkifBXdjMzT4DCal3VBzU2ryzD229LRTCrblw","2026/06/20","10.61%","21.89秒",3828,10,26,9,99,19,99,0,0,0,,,,
