"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"6月1日GitHub涨星榜出炉，6个项目单日狂揽上万星。微软的Markitdown一天涨2759星，总星134K——任何文件一键变Markdown，不是编辑器是转换器。MoneyPrinterTurbo 74K星，文字直接出视频配字幕全搞定。VoxCPM跳过分词器做语音合成，还能克隆你的声音。从零训大模型的教程也有，跟着Notebook走一遍就行。

#GitHub #开源项目 #AI工具 #程序员 #科技","export/UzFfBgAAxKqiCH0nFnvFjMzT4DCacgHoPRvfhCOCaFjvBJBcRw","2026/06/01","18.00%","19.56秒",2271,16,21,2,65,8,65,0,0,0,,,,
"一行文字输入，9个阶段自动管线，30多条规则引擎约束，AI驱动的视频锻造炉。从痛点到架构，从规则引擎到三层视觉系统，完整拆解 ClipForge 如何把视频制作从4小时压缩到全自动。GitHub 搜索 video-clipforge 即可找到项目。#AI视频 #自动化 #开源项目 #ClipForge #AI工具 #短视频制作 #开发者 #程序员的浪漫 #效率工具 #AI","export/UzFfBgAAxK2iZA14eXrFjMzT4DCape-iVd26-kOvvt31tX7tLA","2026/06/01","6.33%","26.09秒",742,4,7,2,20,3,20,0,0,0,,,,
"6个开源项目一次看完：🏠 WiFi信号当雷达用，不用摄像头📄 微软的万能文件转Markdown工具⚡ Rust写的极速文档解析器🎙️ 清华团队：不用tokenizer做语音克隆🤖 20万星Agent性能优化系统🎬 AI视频生成工具连续霸榜收藏这条，下次需要的时候直接翻出来用！#GitHub #开源项目 #AI工具 #程序员必备 #科技好物 #Rust #收藏备用","export/UzFfBgAAxIWiUDMgY0z6jMzT4DCaYgZosMYDOxLAo_8yTGQJtA","2026/05/31","11.68%","20.46秒",1070,6,11,4,32,8,32,0,0,0,,,,
"95% 的企业 AI 项目零 ROI，但 74% 的高管说首年就回本了。到底谁在说谎？40+ 数据源、5 个维度、8.9 分钟，带你扒开 AI Agent 商业价值的真相：1. 英伟达 $2159 亿营收的真相2. OpenAI 为什么一边赚钱一边亏钱3. 三个已经赚钱的 Agent 场景4. 三条可行的变现路径5. 四个必须避开的坑关键不是你有没有铲子，而是你知不知道去哪挖。#人工智能 #商业价值 #创业 #科技趋势 #AI变现","export/UzFfBgAAxJuiZCpxOkn7jMzT4DCaYqxbnuhpec0SPCY1N1jKDg","2026/05/30","4.33%","42.25秒",899,5,4,0,8,3,8,0,0,0,,,,
"5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。

ECC，给AI编程助手加了记忆和本能反应，装上之后从实习生变高级工程师。198K总星，今天涨了1400多。

liteparse，LlamaIndex用Rust写的文档解析器，PDF、Word、Excel全能解析，速度碾压Python同类。第一天上榜就700多星。

Claude Code自己也上榜了，AI用自然语言帮你写代码管Git，128K总星。

MoneyPrinterTurbo还在涨，今天又加了3500多星。taste-skill也继续涨了2000多。

关注我，每天发现最新开源好项目。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxNWhbAxnLTr4jMzT4DCaO4JMyNqfZpVeGakuXRhJ6A","2026/05/30","14.86%","23.74秒",19362,65,178,8,756,363,756,0,0,0,,,,
"AI一键生成短视频，结果自己先火了🔥MoneyPrinterTurbo 单日涨了近5000星，做视频的项目被做成了视频。Understand-Anything 让代码变成可交互的知识图谱，42K Star。taste-skill 专门治AI千篇一律的毛病，26K Star。English-level-up-tips 离谱的英语学习指南，48K Star。微软 markitdown 任何文件秒变Markdown，127K Star。twenty 开源版Salesforce，用爱发电打败用钱发电。在 GitHub 搜项目名就能找到。","export/UzFfBgAAxJqiOGJfRhv5jMzT4DCaWYDBYjQKHxx2dq08Mr_NIg","2026/05/29","9.16%","23.14秒",10679,59,168,9,730,156,730,0,0,0,,,,
"企业培训行业正在被AI彻底重构，收藏这篇深度分析备用。$4175亿市场中，AI培训年增速21.7%，内容生产效率提升500%，个性化学习保留率提高30%。5大维度全面拆解：内容革命、学习模式转变、个性化体验、AI教练、数据评估。企业具体该怎么落地？三步走框架讲清楚。#AI #企业培训 #人工智能 #职场成长 #学习笔记","export/UzFfBgAAxNGhTD89Pwv-jMzT4DCaCyP0cARLaTjSIJdT00Nb7Q","2026/05/28","1.42%","22.13秒",845,4,1,0,8,2,8,0,0,0,,,,
"号称国产第一进全球前三，实测翻车了

我们上百号研发用了三个月智谱GLM，全员AI提效跑通了。结果Qwen3.7号称全球前三，还送80亿tokens，大家就切过去试了。

试了才发现：让AI装个工具包，GLM先查文档给方案，Qwen跑了半天说不知道这是啥。更狠的是4组对照实验，GLM做出32分，Qwen只有21分。差距最大的是视觉能力，GLM能做6种特效加角色动画，Qwen连个动效都没有。

选大模型别看排名看实战，代码面前可不配合你演戏。
#大模型对比 #GLM #智谱 #qwen3.7-max #国产大模型","export/UzFfBgAAxKyiSDJcQGn-jMzT4DCaH5z_8-bH5DYyN3fCDE2nJA","2026/05/28","19.87%","31.22秒",29914,39,117,120,181,108,181,0,0,0,,,,
"单日+4466星霸榜，6个GitHub热门项目一次看完，AI占了一半

关注GitHub星探，每天刷开源

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxN-hQCA3Mlb-jMzT4DCallAhrWESGjKxSynAGJ1MLQ","2026/05/28","15.46%","22.96秒",29051,134,300,18,1412,686,1412,0,0,0,,,,
"Anthropic 的 Claude Code 在 npm 发包时忘了删 source map，51万行 TypeScript 源码全部暴露。

1987个文件，53个工具，7个隐藏功能，三层门控体系——这不是一个简单的终端补全工具，而是一个精心设计的 Agent 编排系统。

从 BUDDY 终端宠物到 KAIROS 持久助手，从 ULTRAPLAN 云端规划到编译开关精简版，这 51 万行代码揭示了 AI 编程助手的真正护城河：不是模型，是编排层。

#ClaudeCode #Anthropic #AI编程 #源码泄露 #Agent #TypeScript #MCP","export/UzFfBgAAxNChDHdifEX_jMzT4DCarOBEmYpYzvn97PXmphAkrg","2026/05/27","8.69%","14.55秒",1346,4,8,5,10,0,10,0,0,0,,,,
"注意了，今天 GitHub 有个项目把域名注册做成了免费
另一个项目给 AI 加了长期记忆，关掉对话下次还记得
这些信息差你错过了可能要等很久

你知道哪些服务本来收费结果被开源干掉了吗？评论区说说

#GitHub #开源项目 #程序员 #AI #科技圈","export/UzFfBgAAxKeiGHMDbT38jMzT4DCaEyAl0_rx-4BIbOhkfywIxA","2026/05/27","15.14%","21.33秒",10744,55,103,16,439,168,439,0,0,0,,,,
"6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定但综合推荐CodeGraph，它有个独门绝技叫动态分派合成，静态分析也能追踪React的setState和Vue的事件绑定，零外部依赖，工具调用减少71%关注我，获取更多开源项目深度分析#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxI-iVCkPLST9jMzT4DCa3VukGVNq7mFaQa_b0cdzWw","2026/05/26","16.24%","24.34秒",5664,18,61,10,220,28,220,0,0,0,,,,
"今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星

一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品味，消灭千篇一律的AI输出

gstack更夸张，YC总裁的AI编程配置，23个AI角色分别扮演CEO、设计师、QA，一个人就是一整个开发团队

从零学AI工程的项目单日涨星三千多，Fork数跟涨星持平，真有人在跟着学

感兴趣的可以看看

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxI-iWD8FRxj9jMzT4DCabW_VMRKpMRh3opLCvcuouA","2026/05/26","8.13%","19.42秒",21141,109,197,10,1098,228,1098,0,0,0,,,,
"今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码库。cmux 一个终端管所有 AI 代理，完成了自动弹通知。Kronos 专门为金融训练的语言模型，从底层理解行情语言。MiroFish 六万星的群体智能引擎，一群 AI 像鱼群一样协作预测。感兴趣的可以看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxJuibBljRAbyjMzT4DCaL_UvA2aM5w5-mBCtK8ynPA","2026/05/25","15.69%","23.58秒",5451,23,58,4,227,58,227,0,0,0,,,,
"本周 GitHub 最火的开源项目盘点！编程 Agent 赛道最卷 — codegraph 代码知识图谱、agentmemory 持久记忆、oh-my-pi 终端 Agent、orca 并行舰队、Cursor 开放插件生态技能框架同步爆发 — superpowers 星标突破 20 万！学习赛道持续火热 — AI 工程从零到一、vibe coding 零基础入门创新应用百花齐放 — WiFi 信号空间感知、端侧多语言 TTS、反爬全通过关键词：Agent、技能框架、端侧 AI#GitHub #开源 #Agent #AI #编程 #科技","export/UzFfBgAAxKWibH89VmvyjMzT4DCad9D9yIWQnP212gexrtMAIw","2026/05/25","8.40%","21.90秒",3715,18,37,10,150,23,150,0,0,0,,,,
"AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 TokenUnderstand-Anything 把代码变成可交互地图，对着代码直接提问想看更多开源好项目，关注就对了#GitHub热门 #开源 #程序员 #AI #科技","export/UzFfBgAAxI2iMAwgcyDwjMzT4DCaaVsZ1b_Aa6KKdVjJQ_nZ2g","2026/05/24","11.46%","25.48秒",12630,76,134,14,554,125,554,0,0,0,,,,
"注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。投资机构红杉都发了专门论点，一季度AI创业公司拿了2400亿风投。最值得关注的方向是AI代理记账，299一个月包月，市场规模几千亿。不是在软件市场抢蛋糕，是在服务市场开新局。你觉得AI能取代代账公司吗？评论区聊聊#AI #创业机会 #代理记账 #数字化转型 #商业分析","export/UzFfBgAAxKGiCGERSUzwjMzT4DCao8sY1b4VyMMNUsHaXABAtA","2026/05/23","0.71%","20.89秒",704,1,1,0,5,1,5,0,0,0,,,,
"今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目。还有个更离谱的，RuView 用你家 WiFi 路由器就能感知房间里有没有人，完全不需要摄像头，6 万 4 千星。关注 GitHub 星探，每天更新热门项目。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIeiZC4HGznxjMzT4DCanK8ytQdPZ_OPqYgNIJQBYA","2026/05/23","13.55%","21.55秒",23395,120,226,8,954,348,954,0,0,0,,,,
"注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么你觉得补贴退了谁先撑不住？评论区聊聊#外卖大战 #京东外卖 #美团 #互联网 #商业分析","export/UzFfBgAAxNKhbHlUa0XxjMzT4DCaa5ugZsoMBaCwDJZBOKVmVA","2026/05/23","1.98%","37.99秒",759,8,0,0,32,4,32,0,0,0,,,,
"你还在手动剪辑短视频？别人已经用代码自动化了！
HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者
三个项目三种路线，搜项目名就能找到

#编程 #开源项目 #科技 #效率工具","export/UzFfBgAAxNGhADwNdTX2jMzT4DCacZD-GfwAIt8M9zpQrSC1pA","2026/05/22","11.62%","16.99秒",1213,12,17,0,54,14,54,0,0,0,,,,
"10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考、怎么做事。中文版新增50个原创角色，抖音运营、高考志愿、养殖审核，中国独有场景全覆盖。开源免费，值得试试。关注获取更多好项目。#AI #智能体 #GitHub #开源 #程序员","export/UzFfBgAAxK2ifGEcTx_2jMzT4DCaqMIKpfYtURaynsBCEjuwDA","2026/05/22","7.07%","19.54秒",4214,17,44,12,219,31,219,0,0,0,,,,
"五个新项目同时杀入热榜！Skills生态彻底炸了 🔥

今天GitHub热榜被Skills生态刷屏了，5个新项目同时冲上来：

1️⃣ karpathy-skills — AI大神编程心得，14万星，把编码陷阱做成检查清单
2️⃣ research-skills — 学术研究全流程自动化，文献到论文一条龙
3️⃣ codegraph — 知识图谱方向持续火爆，总星破万，单日+4294
4️⃣ CLI-Anything — 让桌面软件变Agent原生，39K星
5️⃣ notebooklm-py — 播客生成能力，连网页端没有的功能都能调
6️⃣ streambert — 跨平台流媒体桌面应用，零广告零追踪

Skills生态这是要起飞的节奏！
#GitHub #AI #Skills #科技 #程序员 ","export/UzFfBgAAxI6iMAhYFWL2jMzT4DCat-Hit8aSO5hhuYN-rBjmdQ","2026/05/22","11.75%","22.79秒",12470,64,126,11,551,123,551,0,0,0,,,,
